TIPOENTIDAD,CODIGOENTIDAD,NOMBREENTIDAD,FECHACORTE,COD_UCA,NOMBRE_UCA,SUBCUENTA,DESCRIPCION,PERSONA_NATURAL,PERSONA_JURIDICA,TOTAL_TARJETAS
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,5,Número total de tarjetas de crédito vigentes  a la fecha de corte,766009,43540,809549
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,5,Número total de tarjetas de crédito vigentes  a la fecha de corte,765973,44212,810185
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,5,Número total de tarjetas de crédito vigentes  a la fecha de corte,759479,44654,804133
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,10,Número total de tarjetas de crédito vigentes durante el mes,21131,260,21391
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,10,Número total de tarjetas de crédito vigentes durante el mes,22470,425,22895
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,10,Número total de tarjetas de crédito vigentes durante el mes,16487,255,16742
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,15,Número total de tarjetas de crédito canceladas,16838,773,17611
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,15,Número total de tarjetas de crédito canceladas,16221,851,17072
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,15,Número total de tarjetas de crédito canceladas,22492,1057,23549
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,20,Número total de tarjetas de créditos bloqueadas  temporalmente,153395,6152,159547
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,20,Número total de tarjetas de créditos bloqueadas  temporalmente,154797,6107,160904
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,20,Número total de tarjetas de créditos bloqueadas  temporalmente,151832,5519,157351
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,25,Número de transacciones por compras a nivel nacional con tarjeta de crédito,1032817,92234,1125051
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,25,Número de transacciones por compras a nivel nacional con tarjeta de crédito,903955,70804,974759
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,25,Número de transacciones por compras a nivel nacional con tarjeta de crédito,1292433,114808,1407241
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,30,Número de  transacciones por avances a nivel nacional con tarjeta de crédito,101808,3994,105802
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,30,Número de  transacciones por avances a nivel nacional con tarjeta de crédito,85390,3365,88755
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,30,Número de  transacciones por avances a nivel nacional con tarjeta de crédito,125944,4554,130498
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,35,Número de transacciones por compras en el exterior con tarjeta de crédito,228638,33061,261699
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,35,Número de transacciones por compras en el exterior con tarjeta de crédito,189766,24878,214644
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,35,Número de transacciones por compras en el exterior con tarjeta de crédito,183753,26840,210593
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,40,Número de  transacciones por avances en el exterior con tarjeta de crédito,162,27,189
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,40,Número de  transacciones por avances en el exterior con tarjeta de crédito,169,27,196
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,40,Número de  transacciones por avances en el exterior con tarjeta de crédito,235,83,318
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,45,Monto de las transacciones por compras con tarjeta de crédito a nivel nacional,1,71083E+11,34855564368,2,05939E+11
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,45,Monto de las transacciones por compras con tarjeta de crédito a nivel nacional,2,04202E+11,44681965945,2,48884E+11
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,45,Monto de las transacciones por compras con tarjeta de crédito a nivel nacional,1,47886E+11,26026824479,1,73912E+11
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,50,Monto de las transacciones por avances con tarjeta de crédito a nivel nacional,50072223274,3583271016,53655494290
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,50,Monto de las transacciones por avances con tarjeta de crédito a nivel nacional,39767766163,3867888921,43635655084
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,50,Monto de las transacciones por avances con tarjeta de crédito a nivel nacional,56376147926,4403247027,60779394953
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,55,Monto de las transacciones por compras en el exterior con tarjeta de crédito,28634782819,13086677910,41721460729
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,55,Monto de las transacciones por compras en el exterior con tarjeta de crédito,33931371248,17876387479,51807758727
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,55,Monto de las transacciones por compras en el exterior con tarjeta de crédito,25116759829,14078997871,39195757700
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,60,Monto de las transacciones por avances en el exterior con tarjeta de crédito,224307297,130424168,354731465
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,60,Monto de las transacciones por avances en el exterior con tarjeta de crédito,157446116,41918624,199364740
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,60,Monto de las transacciones por avances en el exterior con tarjeta de crédito,169246610,32501029,201747639
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,65,Monto de los intereses corrientes por compras y avances con tarjeta de crédito,28834342490,3198124560,32032467050
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,65,Monto de los intereses corrientes por compras y avances con tarjeta de crédito,26149781524,2768676370,28918457894
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,65,Monto de los intereses corrientes por compras y avances con tarjeta de crédito,29765274227,3099457403,32864731629
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,70,Monto de los intereses de mora por compras y avances  con tarjeta de crédito,438974598,168705685,607680283
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,70,Monto de los intereses de mora por compras y avances  con tarjeta de crédito,493913779,193485418,687399197
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,70,Monto de los intereses de mora por compras y avances  con tarjeta de crédito,511388153,192914736,704302889
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,75,Monto de los castigos de cartera por tarjeta de crédito, únicamente capital.,9690646376,763869391,10454515766
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,75,Monto de los castigos de cartera por tarjeta de crédito, únicamente capital.,8136430742,717545114,8853975856
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,75,Monto de los castigos de cartera por tarjeta de crédito, únicamente capital.,16114212841,2455642144,18569854985
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,80,Monto de los castigos de cartera por tarjeta de crédito, conceptos diferentes a capital,862875559,100506007,963381565
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,80,Monto de los castigos de cartera por tarjeta de crédito, conceptos diferentes a capital,438232588,34522677,472755264
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,80,Monto de los castigos de cartera por tarjeta de crédito, conceptos diferentes a capital,579434780,33624790,613059570
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,85,Saldo de la cartera por tarjeta de crédito,1,81715E+12,1,64945E+11,1,98209E+12
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,85,Saldo de la cartera por tarjeta de crédito,1,81042E+12,1,69365E+11,1,97978E+12
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,85,Saldo de la cartera por tarjeta de crédito,1,81456E+12,2,28933E+11,2,04349E+12
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,90,Total cupo de crédito no utilizado por todos los tarjetahabientes,2,76168E+12,6,2443E+11,3,38611E+12
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,90,Total cupo de crédito no utilizado por todos los tarjetahabientes,3,54118E+12,4,65322E+11,4,0065E+12
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,90,Total cupo de crédito no utilizado por todos los tarjetahabientes,2,78172E+12,6,47493E+11,3,42921E+12
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,95,INGRESOS POR TARIFA INTERBANCARIA DE INT,1794211127,1,1794211128
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,95,INGRESOS POR TARIFA INTERBANCARIA DE INT,2712724803,1,2712724804
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,95,INGRESOS POR TARIFA INTERBANCARIA DE INT,1901022292,1,1901022293
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,100,Gastos por Tarifa Interbancaria de Intercambio - TII por Tarjeta de Crédito,2936242962,528326411,3464569373
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,100,Gastos por Tarifa Interbancaria de Intercambio - TII por Tarjeta de Crédito,2055619894,147579753,2203199647
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,100,Gastos por Tarifa Interbancaria de Intercambio - TII por Tarjeta de Crédito,2291484608,137525756,2429010364
1,1,BANCO DE BOGOTA S. A.,31/03/2021,1,CREDIBANCO-VISA,105,Ingresos Comisión de Adquirencia por Tarjeta de Crédito,0,0,5116717173
1,1,BANCO DE BOGOTA S. A.,28/02/2021,1,CREDIBANCO-VISA,105,Ingresos Comisión de Adquirencia por Tarjeta de Crédito,0,0,2983253920
1,1,BANCO DE BOGOTA S. A.,31/01/2021,1,CREDIBANCO-VISA,105,Ingresos Comisión de Adquirencia por Tarjeta de Crédito,0,0,2968482074
1,1,BANCO DE BOGOTA S. A.,28/02/2021,2,MASTERCARD,5,Número total de tarjetas de crédito vigentes  a la fecha de corte,278487,2481,280968
